AccusedMasterID,CaseMasterID,PersonMasterID,AccusedName,AgeYear,GenderID,PersonID,MO
1,1,251,Osha Venkataraman,33,F,A1,Fake KYC update call
2,2,252,Devika Mukherjee,18,F,A1,Social media impersonation
3,2,253,Sathvik Raju,60,M,A2,OTP fraud
4,3,254,Vasana Gera,19,T,A1,Lock-picking
5,4,255,Rachit Hayer,25,M,A1,Forced window/door entry
6,5,256,Dominic Bali,28,M,A1,Knife-related assault
7,5,257,Reyansh Chander,51,M,A2,Unarmed physical assault
8,6,258,Keya Chaudhry,53,T,A1,Forced window/door entry
9,7,62,Oeshi Desai,55,T,A1,Persistent online stalking before offence
10,7,259,Vyanjana Raghavan,40,F,A2,Workplace harassment
11,8,261,Agastya Loyal,60,T,A1,Fake KYC update call
12,8,260,Kabir Sani,24,M,A2,Phishing link / fake link
13,9,265,Zinal Bains,26,T,A1,Daylight chain/bag snatching
14,9,263,Yadavi Bajwa,42,F,A2,Vehicle theft with duplicate key
15,9,262,Zashil Gupta,22,M,A3,Vehicle theft with duplicate key
16,9,264,Chatresh Oza,60,M,A4,Lock-picking
17,10,266,Osha Nayak,53,F,A1,Family/relative-perpetrated
18,10,267,Daniel Bhasin,30,T,A2,Family/relative-perpetrated
19,11,269,Ayushman Mistry,54,T,A1,Forced window/door entry
20,11,271,Advay Kuruvilla,22,M,A2,Forced window/door entry
21,11,268,Rishi Mody,28,T,A3,Daylight chain/bag snatching
22,11,270,Quincy Raja,48,M,A4,Vehicle theft with duplicate key
23,12,274,Qadim Walla,63,T,A1,Shell company fraud
24,12,275,Ekapad Narang,60,M,A2,Loan-default cheating
25,12,273,Ethan Master,36,M,A3,Loan-default cheating
26,12,272,Nakul Garg,53,M,A4,Loan-default cheating
27,13,277,Samesh Mukhopadhyay,58,T,A1,Forced window/door entry
28,13,276,Rushil Som,22,M,A2,Forced window/door entry
29,14,278,Yachana Ramesh,27,T,A1,Persistent online stalking before offence
30,15,279,Bina Krish,42,F,A1,Vehicle theft with duplicate key
31,16,282,Zansi Seth,27,F,A1,Social media impersonation
32,16,281,Atharv Chand,22,M,A2,Fake KYC update call
33,16,39,Zehaan Deshmukh,32,M,A3,Phishing link / fake link
34,16,280,Neha Gandhi,22,F,A4,Social media impersonation
35,17,283,Amara Sastry,41,F,A1,Blunt weapon assault
36,18,284,Radhika Char,50,T,A1,Forced window/door entry
37,19,285,Arin Lal,26,M,A1,OTP fraud
38,19,286,Lopa Mann,17,T,A2,OTP fraud
39,20,287,Oeshi Anne,47,F,A1,Persistent online stalking before offence
40,20,289,Yamini Sem,46,T,A2,Family/relative-perpetrated
41,20,290,Farhan Shankar,64,T,A3,Persistent online stalking before offence
42,20,288,Ikbal Dutt,37,M,A4,Workplace harassment
43,21,194,Warinder Andra,46,M,A1,Ambush attack at night
44,22,294,Bhavani Lata,39,F,A1,Vehicle theft with duplicate key
45,22,293,Ansh Bava,36,M,A2,Lock-picking
46,22,291,David Dayal,19,M,A3,Daylight chain/bag snatching
47,22,292,Manthan Kashyap,63,M,A4,Lock-picking
48,23,190,Ishani Kant,33,F,A1,Daylight chain/bag snatching
49,24,206,Tristan Konda,23,M,A1,Fake KYC update call
50,24,295,Wriddhish Kale,36,M,A2,Phishing link / fake link
51,25,296,Atharv Bhavsar,50,M,A1,Family/relative-perpetrated
52,26,298,Fitan Kuruvilla,21,M,A1,Social media impersonation
53,26,297,Kiaan Venkatesh,57,M,A2,OTP fraud
54,27,302,Matthew Chakraborty,48,M,A1,Daylight chain/bag snatching
55,27,301,Simon Nagarajan,59,T,A2,Lock-picking
56,27,299,Aradhana Borra,61,F,A3,Lock-picking
57,27,300,Azaan Jhaveri,25,M,A4,Forced window/door entry
58,28,305,Kai Venkatesh,38,T,A1,Unarmed physical assault
59,28,304,Ishaan Char,40,T,A2,Knife-related assault
60,28,303,Chakradhar Srinivasan,32,T,A3,Knife-related assault
61,28,306,Faris Sahni,57,M,A4,Unarmed physical assault
62,29,307,Ekalinga Bhagat,56,M,A1,Fake KYC update call
63,30,187,Oeshi Dara,44,T,A1,Persistent online stalking before offence
64,31,309,Ekansh Bal,49,M,A1,Unarmed physical assault
65,31,310,Ekantika Singhal,33,F,A2,Blunt weapon assault
66,31,308,Ishanvi Dass,23,T,A3,Unarmed physical assault
67,31,311,William Lad,62,T,A4,Ambush attack at night
68,32,312,Henry Mitra,22,M,A1,Ambush attack at night
69,32,314,Alka Pau,31,T,A2,Ambush attack at night
70,32,313,Nandini Uppal,28,F,A3,Blunt weapon assault
71,33,119,Jack Sur,21,M,A1,Cheque bounce fraud
72,34,29,Kritika Badal,32,F,A1,Workplace harassment
73,34,316,Unni Biswas,42,T,A2,Persistent online stalking before offence
74,34,315,Amara Dyal,45,F,A3,Workplace harassment
75,35,317,Rudra Bal,63,M,A1,Fake KYC update call
76,36,318,Arunima Puri,57,T,A1,Vehicle theft with duplicate key
77,37,62,Oeshi Desai,55,T,A1,Persistent online stalking before offence
78,38,103,Udant Bumb,24,M,A1,Cheque bounce fraud
79,38,319,Bachittar Mital,53,M,A2,Loan-default cheating
80,39,322,Mekhala Agate,42,F,A1,Phishing link / fake link
81,39,321,Bachittar Nayak,40,M,A2,Phishing link / fake link
82,39,320,Pranit Prashad,57,M,A3,Phishing link / fake link
83,40,324,Oliver Baria,37,M,A1,Phishing link / fake link
84,40,323,Girik Rastogi,33,M,A2,Fake KYC update call
85,41,325,Ranveer Edwin,25,M,A1,Persistent online stalking before offence
86,42,326,Laksh Padmanabhan,39,M,A1,Ponzi / fake investment scheme
87,43,327,Qushi Kashyap,37,F,A1,Knife-related assault
88,44,25,Girik Vyas,33,T,A1,Blunt weapon assault
89,45,328,Frado Bhatti,19,M,A1,Forced window/door entry
90,46,329,Faras Ramesh,48,T,A1,Fake KYC update call
91,47,330,Rushil Ganesan,49,T,A1,Blunt weapon assault
92,48,331,Brijesh Gill,21,M,A1,OTP fraud
93,49,332,Saanvi Bhat,47,F,A1,Vehicle theft with duplicate key
94,50,333,Radha Merchant,48,F,A1,Cheque bounce fraud
95,51,334,Frado Arora,53,M,A1,Lock-picking
96,51,335,Lipika Rai,47,F,A2,Vehicle theft with duplicate key
97,52,337,Zinal Kumar,27,F,A1,Persistent online stalking before offence
98,52,336,Manbir Mohanty,46,M,A2,Persistent online stalking before offence
99,53,338,Abdul Srinivas,62,T,A1,Cheque bounce fraud
100,54,340,Ayush Raju,64,M,A1,Forced window/door entry
101,54,339,Samar Batra,53,M,A2,Daylight chain/bag snatching
102,55,341,Rajeshri Samra,51,T,A1,Family/relative-perpetrated
103,56,342,Noah Baria,26,T,A1,Forced window/door entry
104,57,343,Sara Murty,30,F,A1,Persistent online stalking before offence
105,58,345,Rajeshri Dyal,47,F,A1,Ambush attack at night
106,58,344,Neelima Apte,59,T,A2,Knife-related assault
107,59,347,Saanvi Khosla,23,F,A1,Knife-related assault
108,59,346,Gautami Kar,50,T,A2,Ambush attack at night
109,60,348,Janaki Acharya,41,T,A1,Daylight chain/bag snatching
110,61,349,Robert Sanghvi,54,M,A1,Social media impersonation
111,61,350,Riya Chand,22,F,A2,Social media impersonation
112,61,243,Urmi Bains,29,T,A3,Social media impersonation
113,62,351,Advik Chanda,18,M,A1,Cheque bounce fraud
114,63,352,Bakhshi Dass,21,M,A1,Loan-default cheating
115,64,356,Zaid Panchal,58,M,A1,Daylight chain/bag snatching
116,64,354,Aahana Sunder,56,F,A2,Forced window/door entry
117,64,355,Zayan Sood,60,M,A3,Forced window/door entry
118,64,353,Aayush Purohit,33,M,A4,Forced window/door entry
119,65,47,Arjun Shere,27,T,A1,Daylight chain/bag snatching
120,66,357,Indrajit Bajaj,21,M,A1,Shell company fraud
121,67,358,Lakshmi Hari,19,F,A1,Workplace harassment
122,68,361,Omya Raman,56,F,A1,Phishing link / fake link
123,68,359,Baghyawati Brar,53,T,A2,Social media impersonation
124,68,360,Baljiwan Luthra,49,M,A3,Fake KYC update call
125,69,362,Henry Bava,34,T,A1,Daylight chain/bag snatching
126,70,363,Maanas Mody,39,M,A1,Lock-picking
127,71,365,Lajita Lad,47,F,A1,Lock-picking
128,71,364,Rishi Butala,40,M,A2,Forced window/door entry
129,72,366,Yashasvi Ghose,22,F,A1,Blunt weapon assault
130,73,367,Nidra Bora,57,T,A1,Blunt weapon assault
131,74,368,Frederick Setty,60,T,A1,Ponzi / fake investment scheme
132,74,369,Anay Ahuja,35,M,A2,Shell company fraud
133,75,370,Abha Rastogi,56,F,A1,Lock-picking
134,76,371,Akshay Nath,39,T,A1,Daylight chain/bag snatching
135,77,372,Arjun Goyal,58,M,A1,Shell company fraud
136,78,373,Jeremiah Jayaraman,48,M,A1,Shell company fraud
137,79,374,Gaurav Gupta,46,T,A1,Unarmed physical assault
138,80,375,Girik Nori,62,M,A1,Workplace harassment
139,81,376,Vasana Badami,47,F,A1,Unarmed physical assault
140,82,377,Ishani Batra,42,T,A1,Workplace harassment
141,83,378,Abeer Mohanty,33,T,A1,Forced window/door entry
142,84,379,Deepa Swamy,35,T,A1,Vehicle theft with duplicate key
143,85,380,Siya Muni,56,F,A1,Vehicle theft with duplicate key
144,86,382,Chandresh Hayer,17,T,A1,Forced window/door entry
145,86,381,Yauvani Karan,46,F,A2,Daylight chain/bag snatching
146,87,384,Inaya Buch,36,T,A1,Social media impersonation
147,87,385,Vedhika Nagarajan,50,T,A2,OTP fraud
148,87,383,Mahika Chander,26,T,A3,Social media impersonation
149,87,386,Adya Kaul,19,T,A4,Phishing link / fake link
150,88,387,Samar De,19,M,A1,Family/relative-perpetrated
151,88,388,Yoshita Goda,39,F,A2,Family/relative-perpetrated
152,89,390,Ayaan Kapoor,49,T,A1,Loan-default cheating
153,89,389,Faras Manda,57,M,A2,Cheque bounce fraud
154,90,391,Isaac Deep,43,M,A1,Fake KYC update call
155,91,392,Lipika Mital,36,T,A1,Lock-picking
156,91,395,Anirudh Dalal,59,T,A2,Forced window/door entry
157,91,393,Krisha Kanda,61,F,A3,Forced window/door entry
158,91,394,Nathaniel Natarajan,29,T,A4,Vehicle theft with duplicate key
159,92,396,Aarav Sheth,37,T,A1,Social media impersonation
160,93,399,Darpan Seth,49,M,A1,Phishing link / fake link
161,93,397,Siya Vala,41,T,A2,Phishing link / fake link
162,93,398,Ridhi Borah,38,T,A3,Phishing link / fake link
163,94,400,Xavier Borde,38,M,A1,Daylight chain/bag snatching
164,94,401,Rishi Sani,48,M,A2,Daylight chain/bag snatching
165,95,402,Advay Soman,54,M,A1,Forced window/door entry
166,96,403,Chasmum Sachdev,41,T,A1,Workplace harassment
167,96,404,Sai Iyengar,40,T,A2,Workplace harassment
168,97,407,Orinder Raja,60,T,A1,Vehicle theft with duplicate key
169,97,405,Krishna Sathe,19,T,A2,Daylight chain/bag snatching
170,97,406,Triveni Lad,47,F,A3,Forced window/door entry
171,97,408,Chanchal Kulkarni,36,T,A4,Forced window/door entry
172,98,409,Pratyush Padmanabhan,35,T,A1,Phishing link / fake link
173,99,217,Owen Samra,33,T,A1,Forced window/door entry
174,100,37,Aarnav Tara,30,M,A1,Lock-picking
175,100,410,Alka Memon,33,T,A2,Lock-picking
176,100,411,Amol Dhingra,45,T,A3,Vehicle theft with duplicate key
