PersonMasterID,PersonName,GenderID,HomeDistrictID,PrimaryCrimeHeadID,PrimaryMO,TotalCasesLinked,IsRepeatOffender
1,Jyoti Bassi,T,1,2,Forced window/door entry,2,1
2,Divya Uppal,T,3,1,Blunt weapon assault,2,1
3,Oeshi Parsa,F,6,2,Vehicle theft with duplicate key,5,1
4,Osha Modi,F,8,5,Ponzi / fake investment scheme,5,1
5,Udant Sarna,M,3,5,Loan-default cheating,2,1
6,Dakshesh Mand,T,7,4,OTP fraud,2,1
7,Vasana Yadav,F,14,1,Ambush attack at night,2,1
8,Lakshit Gopal,T,14,5,Shell company fraud,5,1
9,Kashvi Pathak,T,13,2,Forced window/door entry,5,1
10,Edhitha Bedi,F,10,5,Shell company fraud,2,1
11,Rehaan Balasubramanian,M,4,2,Daylight chain/bag snatching,3,1
12,Faris Narasimhan,M,7,1,Knife-related assault,3,1
13,Tejas Anne,M,6,3,Workplace harassment,4,1
14,Rachita Loke,F,1,3,Workplace harassment,5,1
15,Ubika Madan,T,14,5,Loan-default cheating,4,1
16,Odika Nigam,F,2,1,Knife-related assault,2,1
17,Vasana Sheth,F,12,5,Cheque bounce fraud,3,1
18,Ishanvi Hans,T,13,3,Family/relative-perpetrated,5,1
19,Gaurav Basu,M,11,2,Daylight chain/bag snatching,2,1
20,Yasti Dhar,F,11,2,Forced window/door entry,2,1
21,Dalbir Mitter,T,12,3,Persistent online stalking before offence,2,1
22,Maanas Johal,M,3,5,Shell company fraud,3,1
23,Anmol Gera,M,7,3,Family/relative-perpetrated,3,1
24,Abdul Sandhu,M,11,2,Daylight chain/bag snatching,2,1
25,Girik Vyas,T,3,1,Blunt weapon assault,3,1
26,Kamya Rastogi,F,6,2,Daylight chain/bag snatching,2,1
27,Ishani Sarma,F,6,1,Ambush attack at night,3,1
28,Rushil Palla,T,6,1,Unarmed physical assault,4,1
29,Kritika Badal,F,14,3,Workplace harassment,3,1
30,Adya Andra,F,10,2,Vehicle theft with duplicate key,3,1
31,Nidra Dada,F,4,1,Knife-related assault,5,1
32,Amaira Chowdhury,T,3,2,Daylight chain/bag snatching,2,1
33,Zaitra Batta,F,14,5,Loan-default cheating,2,1
34,Omya Sidhu,F,11,1,Knife-related assault,2,1
35,Jason Ramesh,T,11,4,Social media impersonation,2,1
36,Ekanta Ganguly,F,13,3,Workplace harassment,5,1
37,Aarnav Tara,M,3,2,Lock-picking,4,1
38,Faraj Sarin,M,9,3,Family/relative-perpetrated,5,1
39,Zehaan Deshmukh,M,1,4,Phishing link / fake link,3,1
40,Zinal Basu,T,2,5,Shell company fraud,2,1
41,Bhavani Dyal,T,12,2,Lock-picking,2,1
42,Nachiket Handa,M,13,3,Workplace harassment,2,1
43,Urishilla Dora,F,4,3,Persistent online stalking before offence,2,1
44,Dalaja Malhotra,F,5,1,Unarmed physical assault,2,1
45,Anjali Sant,F,11,3,Family/relative-perpetrated,2,1
46,Prisha Dass,F,12,1,Ambush attack at night,3,1
47,Arjun Shere,T,10,2,Daylight chain/bag snatching,3,1
48,Yauvani Subramanian,F,7,5,Cheque bounce fraud,5,1
49,Andrew Kara,M,9,2,Forced window/door entry,2,1
50,Girish Mand,T,6,3,Workplace harassment,2,1
51,Radha Nath,F,8,4,Social media impersonation,2,1
52,Brinda Deshmukh,F,8,3,Family/relative-perpetrated,3,1
53,Azad Samra,M,7,5,Cheque bounce fraud,3,1
54,Pranav Ravi,T,4,4,OTP fraud,4,1
55,Faqid Nagi,M,7,3,Family/relative-perpetrated,3,1
56,Raghav Garde,T,12,2,Lock-picking,3,1
57,Amaira Sundaram,F,2,3,Persistent online stalking before offence,2,1
58,Vinaya Borah,T,15,5,Cheque bounce fraud,2,1
59,Zarna Kunda,F,12,4,OTP fraud,2,1
60,Xalak Jain,F,5,3,Workplace harassment,2,1
61,Anthony Ganesan,M,14,5,Ponzi / fake investment scheme,2,1
62,Oeshi Desai,T,2,3,Persistent online stalking before offence,5,1
63,Dev Kari,M,1,3,Family/relative-perpetrated,2,1
64,Mekhala Dugar,T,7,3,Family/relative-perpetrated,2,1
