ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Abha Salvi,19,9,6,1,2
2,2,Vedika Raghavan,67,9,5,1,2
3,3,Brijesh Khurana,67,2,6,2,1
4,4,Gopal Kalita,34,2,7,2,1
5,5,Vrinda Srinivas,71,9,1,5,2
6,6,Yutika Rai,47,9,3,5,2
7,7,Megha Setty,43,2,1,2,2
8,7,Jackson Lalla,66,1,1,3,1
9,8,Theodore Buch,70,8,2,3,1
10,8,Upma Naidu,54,7,7,3,2
11,9,Andrew Sha,21,4,2,5,1
12,10,Theodore Sundaram,54,5,1,1,1
13,11,Warhi Sodhi,66,7,1,4,2
14,12,Pooja Natarajan,28,7,6,1,2
15,13,Thomas Chaudhry,44,7,4,5,1
16,14,Kamya Mani,27,7,5,2,2
17,15,Jack Shenoy,63,3,3,2,1
18,16,Warhi Chhabra,57,4,2,2,2
19,17,Januja Gupta,36,9,1,5,2
20,18,Ekta Kara,53,6,6,5,2
21,19,Azad Shetty,18,7,4,4,1
22,20,Faras Sachdeva,29,1,1,3,1
23,21,Aishani Bedi,74,5,4,5,2
24,22,Kashish Naik,50,8,2,5,2
25,23,Vasudha Balasubramanian,37,1,1,3,2
26,24,Upasna Seth,62,2,6,5,2
27,25,Eiravati Bhasin,66,8,7,2,2
28,26,Kiaan Balakrishnan,28,8,7,4,1
29,27,Chaman Ben,54,9,3,3,2
30,28,Mitesh Bath,48,4,1,3,1
31,28,Rudra Bhakta,36,4,7,3,1
32,29,Tejas Bahl,59,4,3,5,1
33,30,Frado Bose,33,3,1,5,1
34,31,Nakul Dora,33,2,3,2,1
35,32,Bhavani Seshadri,33,5,3,4,2
36,33,Charvi Raju,68,9,7,3,2
37,34,Omya Datta,21,9,5,2,2
38,35,Yashica Zacharia,42,4,1,5,2
39,36,Gunbir Pillai,30,5,4,2,1
40,37,Chandani Kapadia,47,3,7,1,2
41,38,Mekhala Sodhi,36,8,4,5,2
42,39,Arunima Khare,47,7,1,2,2
43,40,Rachit Kulkarni,70,3,4,5,1
44,41,Harita Shetty,60,2,3,4,2
45,42,Thomas Raju,51,1,5,5,1
46,43,Udant Sandhu,59,4,6,3,1
47,44,Ekapad Wagle,75,2,6,4,1
48,45,Caleb Nagarajan,37,6,4,4,1
49,46,Dhruv Chadha,45,5,7,1,1
50,47,Upma Thakkar,45,2,4,4,2
51,48,Frederick Nazareth,23,6,7,1,1
52,49,Harsh Oak,40,6,2,4,1
53,50,Aryan Mannan,61,9,2,5,1
54,51,Aayush Chokshi,64,9,3,5,1
55,52,Eesha Chatterjee,45,9,5,2,2
56,53,Raksha Narula,35,1,7,4,2
57,54,Azaan Devi,70,8,2,4,1
58,55,Wishi Nadig,52,5,3,3,2
59,56,Jalsa Jaggi,68,7,6,3,2
60,57,William Iyengar,40,8,6,2,1
61,58,Yatin Desai,19,3,5,3,1
62,59,Jacob Sekhon,46,6,7,1,1
63,60,Janani Kota,56,5,2,2,2
64,61,Ayush Shere,38,8,2,5,1
65,62,Rachit Raja,53,4,5,2,1
66,63,Krishna Sharma,44,7,6,1,2
67,64,Krisha Basu,54,3,1,3,2
68,65,Samuel Mital,65,4,4,1,1
69,65,Azaan Gill,37,3,1,2,1
70,66,Oni Brar,28,3,1,1,2
71,67,Wakeeta Kibe,72,4,5,5,2
72,68,Adweta Lal,49,9,7,5,2
73,69,Zaitra Bandi,38,1,4,1,2
74,70,Widisha Babu,35,7,2,3,2
75,71,Isaiah Mital,25,2,7,2,1
76,72,Logan Bali,21,1,3,5,1
77,73,Nihal Balan,73,9,3,3,1
78,74,Tristan Parsa,22,4,7,1,1
79,74,Charan Deo,57,1,1,5,1
80,75,Frado Rai,55,1,5,5,1
81,76,Omya Sarraf,31,1,4,4,2
82,77,Harish Gole,41,8,3,4,1
83,78,Andrew Parsa,21,3,4,1,1
84,79,Zashil Dora,52,9,1,3,1
85,80,Alka Oza,60,5,2,3,2
86,81,Jalsa Jha,64,4,4,5,2
87,82,Gavin Prakash,32,5,6,1,1
88,83,Vamakshi Suresh,32,6,1,1,2
89,84,Krish Peri,43,6,2,3,1
90,85,Urvashi Dalal,41,5,7,3,2
91,86,Maanav Loke,66,8,1,3,1
92,86,Ekanta Sabharwal,72,6,1,5,2
93,87,Tamanna Varma,47,1,2,3,2
94,88,Watika Oza,62,1,6,5,2
95,89,Gayathri Ben,34,7,5,2,2
96,90,Waida Bobal,70,1,6,4,2
97,91,Urvi Panchal,61,3,2,5,2
98,92,Chaman Kothari,25,9,2,2,2
99,93,Ekaja Ram,35,7,1,1,2
100,94,Harsh Dugal,58,4,3,3,1
101,95,Quincy Date,19,4,2,4,1
102,96,Arin Sodhi,54,9,3,4,1
103,97,Vasatika Anand,52,4,2,3,2
104,98,Kamala Pal,63,5,4,5,2
105,99,Ekta Mammen,55,3,3,2,2
106,100,Bhavani Saran,32,1,7,1,2
107,100,Jagat Manne,42,2,4,1,1
108,101,Mitesh Sheth,58,7,3,4,1
109,102,Leena Ghosh,46,7,3,1,2
110,103,Alka Bhattacharyya,40,8,2,2,2
111,104,Zaid Sabharwal,64,9,7,4,1
112,105,Amruta Mand,62,1,3,1,2
113,105,Vrishti Wagle,60,7,5,5,2
114,106,Akshay Pandey,28,9,1,1,1
115,107,Dayamai Vora,20,8,5,3,2
116,108,Devansh Goel,71,6,6,2,1
117,109,Charles Taneja,25,5,4,1,1
118,110,Shaurya Ganesan,23,3,6,5,1
119,111,Alexander Sankar,24,3,5,5,1
120,112,Xalak Dube,20,2,4,1,2
121,113,Hiral Prabhakar,72,6,1,2,2
122,114,Vyanjana Keer,31,3,1,4,2
123,115,Rushil Nanda,71,8,1,2,1
124,116,Daksha Mangal,29,9,3,4,2
125,117,Ishaan Desai,59,8,5,3,1
126,117,Timothy Nagi,61,7,1,2,1
127,118,Arya Patel,45,4,1,3,2
128,119,Jeevika Jhaveri,37,9,3,4,2
129,120,Udyati Puri,60,9,7,3,2
130,121,Ijaya Doctor,60,2,5,4,2
131,122,Pavani Kapadia,59,6,5,1,2
132,123,Noah Prabhu,48,8,5,4,1
133,124,Harish Oommen,38,5,7,3,1
134,124,Veer Dhar,67,5,7,5,1
135,125,Tanish Raval,26,8,7,1,1
136,126,Vedant Venkatesh,19,5,5,1,1
137,127,Aishani Bava,45,5,3,5,2
138,128,Daniel Mandal,25,9,1,4,1
139,129,Noah Keer,62,9,7,4,1
140,130,Kala Shan,57,4,6,2,2
141,131,Theodore Loyal,40,6,1,3,1
142,132,Charles Saha,67,2,4,1,1
143,133,Pallavi Venkataraman,69,2,5,3,2
144,134,Kamya Brar,74,4,3,3,2
145,135,Noah Solanki,72,1,2,3,1
146,136,Ijaya Dara,49,5,3,3,2
147,137,Upma Subramanian,51,9,5,4,2
148,138,Ikbal Iyer,50,9,1,5,1
149,139,Udyati Arya,69,3,1,5,2
150,140,Rachita Sethi,74,5,6,4,2
151,141,Gunbir Menon,24,5,1,5,1
152,142,Yatan Parmar,30,6,1,3,1
153,143,Deepa Pal,47,4,4,2,2
154,144,Yagnesh Bassi,62,1,7,5,1
155,145,Bimala Dube,56,9,4,3,2
156,146,Aarush Bhatnagar,50,7,6,5,1
157,146,Bina Parmar,63,3,3,1,2
158,147,Abdul Dhaliwal,60,1,4,2,1
159,148,Faris Gour,57,6,1,4,1
160,149,Upadhriti Ganguly,30,2,6,5,2
161,150,Guneet Lall,42,7,3,4,1
162,151,Jagdish Gandhi,67,7,1,4,1
163,152,Karan Ghosh,60,9,6,4,1
164,153,Falguni Grover,46,1,3,3,2
165,154,Baghyawati Ganesan,49,7,7,1,2
166,155,Ekbal Gopal,73,8,4,4,1
167,156,Eiravati Zacharia,20,4,3,5,2
168,157,Pushti Chaudhari,61,1,5,2,2
169,158,Garima Sandhu,43,8,1,1,2
170,159,Pallavi Ben,18,9,4,4,2
171,160,Yachana Sarna,31,5,2,5,2
172,161,Abhimanyu Biswas,36,3,3,4,1
173,162,Samar Toor,38,8,5,3,1
174,163,Jyoti Mutti,35,3,6,4,2
175,164,Krish Goswami,34,8,1,2,1
176,165,Ria Murty,59,6,6,4,2
177,166,Girik Lall,66,9,1,1,1
178,167,Tarak Raj,34,4,3,4,1
179,168,Sneha Chaudhary,71,9,7,1,2
180,169,Meghana Pant,49,6,7,4,2
181,170,Krishna Saxena,48,2,6,2,1
182,171,Benjamin Chawla,21,9,6,3,1
183,172,Zaitra Walla,73,1,6,2,2
184,173,Tanveer Master,30,9,7,3,1
185,174,Bakhshi Gopal,75,7,7,5,1
186,175,Shivani Bora,26,3,1,3,2
187,176,Ojasvi Dutt,44,6,3,2,2
188,177,Omaja Aurora,29,4,5,3,2
189,178,Chatresh Dass,24,9,6,1,1
190,179,Bhavya Wali,32,4,1,2,2
191,180,Ganga Mandal,30,6,4,3,2
192,181,Abha Joshi,43,7,6,3,2
193,182,Girish Hans,56,4,6,2,1
194,183,Qushi Murty,62,6,1,1,2
195,184,Ekansh Mittal,61,9,6,1,1
196,185,Janani Brahmbhatt,31,3,3,4,2
197,186,Falan Narain,67,7,6,3,1
198,187,Chaman Rastogi,49,6,4,2,2
199,188,Pooja Bajwa,73,7,3,3,2
200,189,Jagrati Yogi,33,7,6,4,2
201,190,Bahadurjit Rama,70,1,7,3,1
202,190,Pranit Chokshi,64,4,4,5,1
203,191,Nidhi Keer,68,5,7,5,2
204,192,Turvi Khosla,34,1,4,1,2
205,193,Tanveer Dhillon,67,2,1,4,1
206,194,Kala Kata,58,7,6,2,2
207,195,Wishi Nair,44,4,1,5,2
208,196,Anmol Ram,74,1,2,4,1
209,197,Umang Bakshi,26,2,6,2,1
210,198,Ranveer Bassi,55,1,1,1,1
211,199,Dominic Jain,18,8,6,4,1
212,200,Neha Narula,30,4,1,4,2
213,201,Unni Bhattacharyya,36,4,4,2,2
214,202,Eiravati Taneja,30,4,4,1,2
215,203,Aarini Comar,31,6,4,5,2
216,204,Baghyawati Verma,29,9,1,3,2
217,205,Laban Sachdev,51,1,1,1,1
218,206,Dominic Jha,25,8,3,4,1
219,207,Laksh Contractor,33,6,3,5,1
220,208,Rachana Muni,69,5,3,4,2
221,208,Ira Walla,64,7,5,3,2
222,209,Alexander Bhattacharyya,52,4,4,3,1
223,210,Teerth Oommen,74,3,6,2,1
224,211,Upkaar Wali,51,2,4,3,1
225,212,Reva Bera,21,6,2,3,2
226,213,Ekani Apte,68,3,4,4,2
227,214,Samesh Peri,54,4,2,1,1
228,215,Yauvani Brar,50,2,4,5,2
229,216,Azaan Solanki,54,6,7,4,1
230,217,Ganga Tandon,18,1,5,4,2
231,217,Sanaya Khanna,32,3,3,5,2
232,218,Sai Mutti,23,3,1,4,2
233,219,Vedhika Khurana,20,2,7,1,2
234,220,Darsh Dar,58,7,4,2,1
235,221,Thomas Boase,32,3,3,4,1
236,222,Aarav Varma,49,1,3,5,1
237,223,Chaitaly Sharaf,30,5,3,3,2
238,224,Gopal Bakshi,25,3,2,3,1
239,225,Adya Sinha,53,6,4,3,2
240,226,Sai Nair,47,1,2,5,1
241,227,Farhan Babu,75,6,6,1,1
242,227,Chaitaly Ahuja,49,4,1,5,2
243,228,Radhika Zacharia,33,9,7,2,2
244,229,Ladli Natt,51,9,3,3,2
245,230,Ishwar Choudhary,73,3,3,3,1
246,231,Lopa Jain,71,4,1,5,2
247,232,Jatin Narang,56,1,2,2,1
248,233,Neelima Khare,48,6,5,5,2
249,234,Vincent Agarwal,46,8,5,1,1
250,235,Gagan Bhavsar,74,3,7,3,1
251,236,Girindra Shankar,47,4,6,2,1
252,237,Shivansh Sawhney,34,1,6,1,1
253,238,Veer Modi,42,3,5,3,1
254,239,Hemani Gill,36,3,1,4,2
255,240,Nidhi Dara,33,8,5,5,2
256,241,Maanav Din,29,8,7,2,1
257,242,Yashvi Ramesh,57,7,6,1,2
258,243,Ekiya Chadha,71,3,4,1,2
259,244,Isaac Bala,48,3,1,4,1
260,245,Kai Gaba,74,7,2,4,1
261,246,Yasti Hari,20,4,2,4,2
262,246,Charvi Ganesh,40,9,2,3,2
263,247,Zayan Kant,61,4,6,5,1
264,248,Nimrat Patil,47,1,5,2,2
265,249,Guneet Chokshi,54,5,6,1,1
266,250,Yashawini Bir,31,6,3,3,2
267,251,Sachi Samra,67,3,1,2,2
268,252,Bakhshi Soni,39,1,1,5,1
269,253,Ryan Parekh,35,9,1,2,1
