VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,3,Vrinda Khosla,65,2,0
2,5,Harini Gour,4,1,0
3,5,Zayyan Sridhar,74,3,0
4,7,Pavani Contractor,14,3,0
5,8,Atharv Chand,21,1,0
6,10,Ayush Khatri,71,2,0
7,14,Gautam Saraf,5,1,0
8,14,Harish Sawhney,15,3,0
9,17,Laksh Chatterjee,70,3,0
10,19,Nilima Dada,53,1,0
11,20,Vrishti Reddy,5,1,1
12,21,Yagnesh Dass,60,3,0
13,21,Ekapad Johal,43,1,0
14,25,Jason Roy,28,3,0
15,28,Samarth Mitra,83,1,1
16,29,Faras Munshi,23,1,1
17,30,Yashvi Hari,36,1,0
18,31,Ekansh Singh,57,2,0
19,32,Hemal Chad,85,1,0
20,34,Pallavi Trivedi,72,2,0
21,36,Triya Manda,62,1,0
22,37,Ikshita Bala,61,3,0
23,41,Qabil Deshmukh,69,1,0
24,43,Sachi Panchal,5,3,0
25,43,Brijesh Pandit,49,2,0
26,43,Anvi Bhandari,82,1,0
27,44,Mitali Murthy,61,3,0
28,44,Zaid Comar,36,1,0
29,47,Jeet Vasa,85,3,0
30,52,Kashvi Nori,77,3,0
31,52,Maanas Issac,78,2,0
32,53,Omaja Morar,47,2,0
33,54,Ekta Sridhar,64,2,0
34,55,Ikshita Mahal,69,2,0
35,57,Ekani Mangal,14,2,0
36,57,Gaurav Kata,15,1,0
37,57,Parth Sahni,19,3,0
38,58,Anjali Hans,14,3,0
39,58,Ganga Gaba,32,1,0
40,59,Forum Mittal,1,2,0
41,64,Reva Kaur,71,2,0
42,65,Warhi Batta,58,1,0
43,67,Mekhala Khatri,13,3,0
44,71,Azad Chander,57,1,0
45,72,Divya Babu,30,2,0
46,73,Shravya Swaminathan,62,1,0
47,75,Liam Luthra,55,2,0
48,77,Triya Kadakia,50,1,0
49,78,Ikbal Kothari,65,2,0
50,79,Aryan Subramanian,82,3,0
51,80,Nitesh Kohli,23,3,0
52,81,Dev Chaudry,43,1,0
53,81,Jasmit Nanda,68,2,0
54,82,Yasti Rama,6,1,0
55,86,Aradhana Date,14,2,0
56,87,Jyoti Sha,75,1,0
57,88,Chakradhar Chaudhary,41,2,0
58,88,Amol Dash,10,1,0
59,89,Dalaja Kaur,21,1,0
60,90,Leela Chakraborty,52,1,0
61,94,Mahika Bhatti,3,3,1
62,95,Jacob Balan,8,2,0
63,96,Leela Doctor,46,2,0
64,96,Balendra Saini,23,1,0
65,103,Sachi Dave,62,1,0
66,104,Darsh Chahal,44,1,0
67,105,Viraj Dutta,13,1,0
68,106,Raghav Tailor,61,1,0
69,107,Elijah Prakash,34,2,0
70,109,Garima Brahmbhatt,23,2,0
71,109,Idika Nagarajan,28,1,0
72,110,Waida Radhakrishnan,71,2,0
73,114,Chandani Brar,63,2,0
74,114,Bakhshi Thakkar,8,2,0
75,115,Zinal Shanker,59,1,0
76,116,Nirja Lalla,76,2,0
77,117,Omaja Chakraborty,53,3,0
78,118,Anusha Pillay,59,2,0
79,119,Nimrat Varghese,9,2,0
80,120,Tripti Krishnan,4,1,0
81,123,Chaitaly Sheth,16,3,0
82,126,Radha Desai,32,3,0
83,127,Omaja Sawhney,44,1,1
84,131,Kashish Oommen,21,2,0
85,134,Sachi Sem,44,2,0
86,136,Tanveer Shankar,57,2,0
87,137,Oscar Dave,80,3,0
88,138,Bina Pai,22,2,0
89,140,Udarsh Ramachandran,84,1,0
90,141,Peter Borde,1,1,0
91,144,Reyansh Nagi,17,3,0
92,145,Tripti Narula,66,3,0
93,148,Zayyan Hari,72,3,0
94,148,Pratyush Bhagat,83,3,0
95,149,Dhriti Koshy,29,2,0
96,151,Sanaya Dutta,85,3,0
97,151,Madhav Sule,71,3,0
98,153,Janaki Dani,79,3,0
99,157,Krish Kumar,83,1,0
100,158,Advika Wason,61,1,0
101,160,Saksham Vasa,66,3,0
102,163,Ira Varty,43,1,0
103,164,Wishi Iyengar,10,3,0
104,165,Anvi Swaminathan,51,2,0
105,168,Darpan Kale,70,3,0
106,169,Yashvi Sura,1,3,0
107,169,Farhan Raj,57,1,0
108,172,Idika Subramaniam,53,1,0
109,173,Abhimanyu Prakash,54,3,0
110,174,Bimala Choudhry,84,3,0
111,174,Sneha Magar,48,2,0
112,175,Pratyush Handa,11,1,0
113,177,Anya Dar,62,3,0
114,178,Viraj Nadig,44,2,0
115,179,Shivani Merchant,5,3,0
116,182,Praneel Sagar,52,2,0
117,184,Charita Kapadia,53,2,0
118,185,Vasudha Ghose,24,2,0
119,188,Omkaar Palla,59,1,1
120,189,Samar Virk,44,3,0
121,190,Brinda Raju,72,1,0
122,194,Atharv Parmer,10,2,0
123,196,Ranveer Manne,4,1,0
124,199,Zehaan Arora,45,1,0
125,200,Chandran Chopra,56,3,0
126,205,Watika Khanna,61,1,0
127,206,Tripti Ram,42,2,0
128,209,Isaiah Panchal,60,3,0
129,210,Oscar Brahmbhatt,80,2,0
130,212,Jagrati Choudhary,10,3,0
131,213,Amol Dhawan,35,3,0
132,216,Charan Manne,71,2,0
133,217,Oliver Kade,3,2,0
134,219,Zinal Nazareth,49,3,0
135,220,Kalpit Prashad,7,2,0
136,221,Sai Ramaswamy,19,2,0
137,223,Samaksh Goda,84,3,0
138,224,Vrinda Ramachandran,80,1,0
139,225,Xavier De,19,3,0
140,226,Laksh Nagy,9,1,0
141,227,Praneel Chakraborty,12,3,0
142,228,Ucchal Joshi,36,3,0
143,229,Caleb Chawla,81,3,0
144,231,Joshua Balay,4,3,0
145,231,Avni Deshpande,53,2,0
146,234,Lekha Natarajan,42,2,0
147,234,Chaman Sandhu,55,1,0
148,235,Lakshit Natt,69,3,0
149,235,Ishaan Sridhar,6,3,0
150,235,Umang Nagi,81,3,0
151,236,Faris Raman,12,2,0
152,237,Bishakha Gulati,21,3,0
153,242,Vritti Nadkarni,77,3,0
154,243,Sarthak Mitter,61,2,0
155,244,Mitesh Lala,37,3,0
156,248,Riya Virk,8,2,0
157,248,Orinder Modi,73,2,0
158,250,Akshay Wadhwa,15,1,0
159,252,Praneel Arya,14,1,0
160,255,Imaran Swaminathan,81,3,0
161,257,Ekantika Chaudhari,59,2,0
162,259,Pranit Bahl,44,3,0
163,261,Anmol Bhakta,58,1,0
164,264,Charvi Chana,17,2,0
165,265,Advika Toor,55,3,0
